[]
[('かがやくリザードン', 'K', '炎', '015/172', 'S12a')]
[('野盗三姉妹', 'HR', 'サポート', '096/071', 'S10a')]
[('ヒスイゾロアークVSTAR', 'UR', '無', '097/071', 'S10a')]
[('ダークパッチ', 'UR', 'グッズ', '098/071', 'S10a')]
[('災いの箱', 'UR', 'グッズ', '099/071', 'S10a')]
[('スピアーV', 'SR', '草', '068/067', 'S10P')]
[('スピアーV:SA', 'SR', '草', '069/067', 'S10P')]
[('オリジンパルキアV', 'SR', '水', '070/067', 'S10P')]
[('オリジンパルキアV:SA', 'SR', '水', '071/067', 'S10P')]
[('ヒードランV', 'SR', '炎', '072/067', 'S10P')]
[('バサギリV', 'SR', '闘', '073/067', 'S10P')]
[('ヒスイオオニューラV', 'SR', '悪', '074/067', 'S10P')]
[('ヒスイオオニューラV:SA', 'SR', '悪', '075/067', 'S10P')]
[('ヤレユータンV', 'SR', '無', '076/067', 'S10P')]
[('カイ', 'SR', 'サポート', '077/067', 'S10P')]
[('ザクロ', 'SR', 'サポート', '078/067', 'S10P')]
[('タイサイ', 'SR', 'サポート', '079/067', 'S10P')]
[('ヒードランVMAX', 'HR', '炎', '080/067', 'S10P')]
[('オリジンパルキアVSTAR', 'HR', '水', '081/067', 'S10P')]
[('バサギリVSTAR', 'HR', '闘', '082/067', 'S10P')]
[('カイ', 'HR', 'サポート', '083/067', 'S10P')]
[('ザクロ', 'HR', 'サポート', '084/067', 'S10P')]
[('タイサイ', 'HR', 'サポート', '085/067', 'S10P')]
[('オリジンパルキアVSTAR', 'UR', '水', '086/067', 'S10P')]
[('シンオウ神殿', 'UR', 'スタジアム', '087/067', 'S10P')]
[('ダブルターボエネルギー', 'UR', '特殊エネルギー', '088/067', 'S10P')]
[('いれかえカート', 'U', 'グッズ', '060/067', 'S10D')]
[('ヒスイドレディアV', 'SR', '草', '068/067', 'S10D')]
[('ヒスイドレディアV:SA', 'SR', '草', '069/067', 'S10D')]
[('レントラーV', 'SR', '雷', '070/067', 'S10D')]
[('ジラーチV', 'SR', '超', '071/067', 'S10D')]
[('カイリキーV', 'SR', '闘', '072/067', 'S10D')]
[('カイリキーV:SA', 'SR', '闘', '073/067', 'S10D')]
[('オリジンディアルガV', 'SR', '鋼', '074/067', 'S10D')]
[('オリジンディアルガV:SA', 'SR', '鋼', '075/067', 'S10D')]
[('アヤシシV', 'SR', '無', '076/067', 'S10D')]
[('セキ', 'SR', 'サポート', '077/067', 'S10D')]
[('ナタネの活気', 'SR', 'サポート', '078/067', 'S10D')]
[('ペリーラ', 'SR', 'サポート', '079/067', 'S10D')]
[('ヒスイドレディアVSTAR', 'HR', '草', '080/067', 'S10D')]
[('カイリキーVMAX', 'HR', '闘', '081/067', 'S10D')]
[('オリジンディアルガVSTAR', 'HR', '鋼', '082/067', 'S10D')]
[('セキ', 'HR', 'サポート', '083/067', 'S10D')]
[('ナタネの活気', 'HR', 'サポート', '084/067', 'S10D')]
[('ペリーラ', 'HR', 'サポート', '085/067', 'S10D')]
[('オリジンディアルガVSTAR', 'UR', '鋼', '086/067', 'S10D')]
[('トレッキングシューズ', 'UR', 'グッズ', '087/067', 'S10D')]
[('頂への雪道', 'UR', 'スタジアム', '088/067', 'S10D')]
[('ダークライV', 'D', '悪', '007/020', 'SLD')]
[('ダークライVSTAR', 'D', '悪', '008/020', 'SLD')]
[('ラルトス:ミラー', 'C', '超', '032/067', 'S9a-M')]
[('かがやくゲッコウガ', 'K', '水', '026/067', 'S9a')]
[('エルレイド', 'R', '超', '034/067', 'S9a')]
[('ビリジオンV', 'SR', '草', '074/067', 'S9a')]
[('スターミーV', 'SR', '水', '075/067', 'S9a')]
[('ヒスイバクフーンV', 'SR', '超', '076/067', 'S9a')]
[('ヒスイジュナイパーV', 'SR', '闘', '077/067', 'S9a')]
[('ヒスイダイケンキV', 'SR', '悪', '078/067', 'S9a')]
[('ガブリアスV', 'SR', 'ドラゴン', '079/067', 'S9a')]
[('シマボシ', 'SR', 'サポート', '080/067', 'S9a')]
[('ツツジ', 'SR', 'サポート', '081/067', 'S9a')]
[('デンボク', 'SR', 'サポート', '082/067', 'S9a')]
[('スターミーV', 'CSR', '水', '083/067', 'S9a')]
[('ガブリアスV', 'CSR', 'ドラゴン', '084/067', 'S9a')]
[('ヒスイバクフーンVSTAR', 'HR', '超', '085/067', 'S9a')]
[('ヒスイジュナイパーVSTAR', 'HR', '闘', '086/067', 'S9a')]
[('ヒスイダイケンキVSTAR', 'HR', '悪', '087/067', 'S9a')]
[('シマボシ', 'HR', 'サポート', '088/067', 'S9a')]
[('ツツジ', 'HR', 'サポート', '089/067', 'S9a')]
[('デンボク', 'HR', 'サポート', '090/067', 'S9a')]
[('ヒスイダイケンキVSTAR', 'UR', '悪', '091/067', 'S9a')]
[('こだわりベルト', 'UR', 'グッズ', '092/067', 'S9a')]
[('コトブキムラ', 'UR', 'スタジアム', '093/067', 'S9a')]
[('ピカチュウV', 'D', '雷', '001/024', 'SN')]
[('イーブイV', 'D', '無', '007/024', 'SN')]
[('ライチュウV', 'RR', '雷', '034/100', 'S9')]
[('アルセウスV', 'RR', '無', '083/100', 'S9')]
[('アルセウスVSTAR', 'RRR', '無', '084/100', 'S9')]
[('シェイミV', 'SR', '草', '101/100', 'S9')]
[('リザードンV', 'SR', '炎', '102/100', 'S9')]
[('リザードンV:SA', 'SR', '炎', '103/100', 'S9')]
[('ネオラントV', 'SR', '水', '104/100', 'S9')]
[('ネオラントV:SA', 'SR', '水', '105/100', 'S9')]
[('ライチュウV', 'SR', '雷', '106/100', 'S9')]
[('エルフーンV', 'SR', '超', '107/100', 'S9')]
[('ドンカラスV', 'SR', '悪', '108/100', 'S9')]
[('ドンカラスV:SA', 'SR', '悪', '109/100', 'S9')]
[('フライゴンV', 'SR', 'ドラゴン', '110/100', 'S9')]
[('アルセウスV', 'SR', '無', '111/100', 'S9')]
[('アルセウスV:SA', 'SR', '無', '112/100', 'S9')]
[('キャンプファイヤー', 'SR', 'サポート', '113/100', 'S9')]
[('シロナの覇気', 'SR', 'サポート', '114/100', 'S9')]
[('チェレンの気くばり', 'SR', 'サポート', '115/100', 'S9')]
[('ハマナのバックアップ', 'SR', 'サポート', '116/100', 'S9')]
[('シェイミVSTAR', 'HR', '草', '117/100', 'S9')]
[('リザードンVSTAR', 'HR', '炎', '118/100', 'S9')]
[('エルフーンVSTAR', 'HR', '超', '119/100', 'S9')]
[('アルセウスVSTAR', 'HR', '無', '120/100', 'S9')]
[('キャンプファイヤー', 'HR', 'サポート', '121/100', 'S9')]
[('シロナの覇気', 'HR', 'サポート', '122/100', 'S9')]
[('チェレンの気くばり', 'HR', 'サポート', '123/100', 'S9')]
[('ハマナのバックアップ', 'HR', 'サポート', '124/100', 'S9')]
[('アルセウスVSTAR', 'UR', '無', '125/100', 'S9')]
[('ハイパーボール', 'UR', 'グッズ', '126/100', 'S9')]
[('マグマの滝壺', 'UR', 'スタジアム', '127/100', 'S9')]
[('ピカチュウV', 'D', '雷', '001/015', 'S8a-G')]
[('モンスターボール', 'D', 'グッズ', '002/015', 'S8a-G')]
[('ピカチュウ', 'D', '雷', '003/015', 'S8a-G')]
[('ピカチュウVMAX', 'D', '雷', '006/015', 'S8a-G')]
[('リーフィアVMAX', 'D', '草', '018/414', 'SI')]
[('ブースターVMAX', 'D', '炎', '052/414', 'SI')]
[('フリージオ', 'D', '水', '106/414', 'SI')]
[('エーフィVMAX', 'D', '超', '173/414', 'SI')]
[('こくばバドレックスVMAX', 'D', '超', '204/414', 'SI')]
[('バンギラスV', 'D', '悪', '263/414', 'SI')]
[('あなぬけのヒモ', 'D', 'グッズ', '364/414', 'SI')]
[('エネルギー回収', 'D', 'グッズ', '365/414', 'SI')]
[('エネルギーリサイクル', 'D', 'グッズ', '368/414', 'SI')]
[('ピカチュウV【SR仕様】', 'D', '雷', '415/414', 'SI')]
[('グランブルV【SR仕様】', 'D', '超', '416/414', 'SI')]
[('ザマゼンタV【SR仕様】', 'D', '鋼', '417/414', 'SI')]
[('ジュン【SR仕様】', 'D', 'サポート', '418/414', 'SI')]
[('マリィのプライド【SR仕様】', 'D', 'サポート', '419/414', 'SI')]
[('ガラルフリーザーV【UR仕様】', 'D', '超', '420/414', 'SI')]
[('ガラルサンダーV【UR仕様】', 'D', '闘', '421/414', 'SI')]
[('ガラルファイヤーV【UR仕様】', 'D', '悪', '422/414', 'SI')]
[('キングラーVMAX:ミラー', 'D', '水', '081/414', 'SI-M')]
[('バンギラスV:ミラー', 'D', '悪', '263/414', 'SI-M')]
[('ボスゴドラVMAX:ミラー', 'D', '鋼', '300/414', 'SI-M')]
[('あなぬけのヒモ:ミラー', 'D', 'グッズ', '364/414', 'SI-M')]
[('エネルギー回収:ミラー', 'D', 'グッズ', '365/414', 'SI-M')]
[('やまびこホーン:ミラー', 'D', 'グッズ', '380/414', 'SI-M')]
[('クララ:ミラー', 'D', 'サポート', '392/414', 'SI-M')]
[('シャクヤ:ミラー', 'D', 'サポート', '397/414', 'SI-M')]
[('あなぬけのヒモ:ミラー', 'CP', 'グッズ', '130/184', 'S8b-M')]
[('こくばバドレックスVMAX', 'RRR', '超', '083/184', 'S8b')]
[('あなぬけのヒモ', 'CP', 'グッズ', '130/184', 'S8b')]
[('リザードン', 'CHR', '炎', '187/184', 'S8b')]
[('モココ', 'CHR', '雷', '194/184', 'S8b')]
[('デデンネ', 'CHR', '超', '200/184', 'S8b')]
[('イーブイ', 'CHR', '無', '210/184', 'S8b')]
[('コロトックV', 'CSR', '草', '213/184', 'S8b')]
[('イオルブV', 'CSR', '草', '214/184', 'S8b')]
[('イオルブVMAX', 'CSR', '草', '215/184', 'S8b')]
[('バシャーモV', 'CSR', '炎', '216/184', 'S8b')]
[('バシャーモVMAX', 'CSR', '炎', '217/184', 'S8b')]
[('マルヤクデV', 'CSR', '炎', '218/184', 'S8b')]
[('マルヤクデVMAX', 'CSR', '炎', '219/184', 'S8b')]
[('はくばバドレックスV', 'CSR', '水', '220/184', 'S8b')]
[('はくばバドレックスVMAX', 'CSR', '水', '221/184', 'S8b')]
[('ピカチュウV', 'CSR', '雷', '222/184', 'S8b')]
[('ピカチュウVMAX', 'CSR', '雷', '223/184', 'S8b')]
[('ゼラオラV', 'CSR', '雷', '224/184', 'S8b')]
[('パルスワンV', 'CSR', '雷', '225/184', 'S8b')]
[('モルペコV-UNION', 'CSR', '雷', ':4枚セット', 'S8b')]
[('ガラルフリーザーV', 'CSR', '超', '230/184', 'S8b')]
[('ニンフィアV', 'CSR', '超', '231/184', 'S8b')]
[('ニンフィアVMAX', 'CSR', '超', '232/184', 'S8b')]
[('ミミッキュV', 'CSR', '超', '233/184', 'S8b')]
[('ミミッキュVMAX', 'CSR', '超', '234/184', 'S8b')]
[('こくばバドレックスV', 'CSR', '超', '235/184', 'S8b')]
[('こくばバドレックスVMAX', 'CSR', '超', '236/184', 'S8b')]
[('ガラルサンダーV', 'CSR', '闘', '237/184', 'S8b')]
[('いちげきウーラオスV', 'CSR', '闘', '238/184', 'S8b')]
[('いちげきウーラオスVMAX', 'CSR', '闘', '239/184', 'S8b')]
[('れんげきウーラオスV', 'CSR', '闘', '240/184', 'S8b')]
[('れんげきウーラオスVMAX', 'CSR', '闘', '241/184', 'S8b')]
[('ガラルファイヤーV', 'CSR', '悪', '242/184', 'S8b')]
[('クロバットV', 'CSR', '悪', '243/184', 'S8b')]
[('ブラッキーV', 'CSR', '悪', '244/184', 'S8b')]
[('ブラッキーVMAX', 'CSR', '悪', '245/184', 'S8b')]
[('ムゲンダイナV', 'CSR', '悪', '246/184', 'S8b')]
[('ムゲンダイナVMAX', 'CSR', '悪', '247/184', 'S8b')]
[('アーマーガアV', 'CSR', '鋼', '248/184', 'S8b')]
[('アーマーガアVMAX', 'CSR', '鋼', '249/184', 'S8b')]
[('ザシアンV', 'CSR', '鋼', '250/184', 'S8b')]
[('ザマゼンタV', 'CSR', '鋼', '251/184', 'S8b')]
[('レックウザVMAX', 'CSR', 'ドラゴン', '252/184', 'S8b')]
[('ジュラルドンVMAX', 'CSR', 'ドラゴン', '253/184', 'S8b')]
[('ハピナスV', 'CSR', '無', '254/184', 'S8b')]
[('アセロラの予感', 'SR', 'サポート', '255/184', 'S8b')]
[('オニオン', 'SR', 'サポート', '256/184', 'S8b')]
[('カブ', 'SR', 'サポート', '257/184', 'S8b')]
[('ガラルの仲間たち', 'SR', 'サポート', '258/184', 'S8b')]
[('キバナ', 'SR', 'サポート', '259/184', 'S8b')]
[('コック', 'SR', 'サポート', '260/184', 'S8b')]
[('サイトウ', 'SR', 'サポート', '261/184', 'S8b')]
[('ジャッジマン', 'SR', 'サポート', '262/184', 'S8b')]
[('ソッドとシルディ', 'SR', 'サポート', '263/184', 'S8b')]
[('ネズ', 'SR', 'サポート', '264/184', 'S8b')]
[('バーネット博士', 'SR', 'サポート', '265/184', 'S8b')]
[('博士の研究', 'SR', 'サポート', '266/184', 'S8b')]
[('冒険家の発見', 'SR', 'サポート', '267/184', 'S8b')]
[('ボスの指令（フラダリ）', 'SR', 'サポート', '268/184', 'S8b')]
